simx,simy
129,1.0646169
130,1.0643697
131,1.0640856
132,1.0637547
133,1.0636083
134,1.0636483
135,1.0638111
136,1.063864
137,1.0640354
138,1.0641754
139,1.0639815
140,1.0635549
141,1.0629406
142,1.0622483
143,1.0613848
144,1.0604366
145,1.0592902
146,1.0581878
147,1.0567495
148,1.055447
149,1.0540688
150,1.0527178
151,1.0511677
152,1.0493846
153,1.0478235
154,1.0463735
155,1.0450882
156,1.0438187
157,1.0423812
158,1.0410599
159,1.039826
160,1.0387007
161,1.0377837
162,1.0369428
163,1.036222
164,1.0356362
165,1.0353018
166,1.0349095
167,1.0345832
168,1.0341966
169,1.0338031
170,1.0334744
171,1.0330869
172,1.032912
173,1.0331868
174,1.033719
175,1.0345582
176,1.0356145
177,1.0368233
178,1.0380046
179,1.0392604
180,1.040749
181,1.0422021
182,1.0439389
183,1.0455186
184,1.0472862
185,1.0491824
186,1.051057
187,1.0529112
188,1.0545442
189,1.0561376
190,1.0576253
191,1.0586622
192,1.0595102
193,1.0601453
194,1.0606855
195,1.0613636
196,1.0619537
197,1.0624114
198,1.0627459
199,1.062923
200,1.0630608
201,1.0631088
202,1.0631104
203,1.0630914
204,1.0630081
205,1.0628511
206,1.0627241
207,1.0626523
208,1.06256
209,1.0624393
210,1.0624666
211,1.062534
212,1.062579
213,1.062613
214,1.0624897
215,1.0623603
216,1.0621274
217,1.0617646
218,1.0613471
219,1.0609602
220,1.0604692
221,1.0598606
222,1.0592109
223,1.0588176
224,1.0587276
225,1.0589166
226,1.0591565
227,1.0593704
228,1.0595585
229,1.0597087
230,1.0597898
231,1.0598108
232,1.0596769
233,1.0596495
234,1.0596124
235,1.0594196
236,1.0593361
237,1.0593327
238,1.0592917
239,1.0592552
240,1.0590416
241,1.0589504
242,1.0590316
243,1.0591784
244,1.0591806
245,1.0590911
246,1.059013
247,1.0588437
248,1.0585599
249,1.0580713
250,1.057618
251,1.057054
252,1.0564464
253,1.055881
254,1.0552822
255,1.0546384
256,1.0539359
257,1.0532207
258,1.0525864
259,1.0521042
260,1.0517459
261,1.0514214
262,1.0512992
263,1.0515643
264,1.0521959
265,1.0528927
266,1.053561
267,1.0544239
268,1.055462
269,1.0565381
270,1.0577582
271,1.0588566
272,1.0602765
273,1.0615233
274,1.0629199
275,1.0643177
276,1.0652996
277,1.0659459
278,1.0665138
279,1.066925
280,1.0670861
281,1.0670822
282,1.0669979
283,1.0667927
284,1.0664696
285,1.0661203
286,1.0655767
287,1.0649791
288,1.064228
289,1.0634902
290,1.0624866
291,1.0615956
292,1.0605195
293,1.0594552
294,1.0583481
295,1.0568414
296,1.0550841
297,1.0529752
298,1.0509045
299,1.0487683
300,1.046663
301,1.0449259
302,1.0435381
303,1.0424228
304,1.0411935
305,1.040029
306,1.0391911
307,1.0387305
308,1.0384667
309,1.0383834
310,1.0382578
311,1.038271
312,1.0386556
313,1.0397936
314,1.0412725
315,1.0433787
316,1.0460895
317,1.0489651
318,1.0526413
319,1.0567324
320,1.0609183
321,1.0656325
322,1.0707923
323,1.0755447
324,1.0809388
325,1.0861938
326,1.0923655
327,1.0976218
328,1.1029804
329,1.107738
330,1.1126196
331,1.1171912
332,1.12139
333,1.1245451
334,1.1274306
335,1.1294663
336,1.130608
337,1.1308631
338,1.1306629
339,1.1298242
340,1.1279477
341,1.1251835
342,1.1212448
343,1.1166703
344,1.1110563
345,1.1048131
346,1.0980859
347,1.0904198
348,1.0823791
349,1.0735419
350,1.0640631
351,1.0551454
352,1.0453787
353,1.0352255
354,1.0251944
355,1.0161347
356,1.0067416
357,0.99769133
358,0.9891388
359,0.9815944
360,0.97371006
361,0.9676154
362,0.9624704
363,0.95790094
364,0.9539122
365,0.95113224
366,0.9488034
367,0.9472969
368,0.94697857
369,0.9476639
370,0.94868803
371,0.95044124
372,0.95314103
373,0.95673525
374,0.96053904
375,0.9653602
376,0.9704397
377,0.9758049
378,0.98149806
379,0.9868359
380,0.99271244
381,0.9983346
382,1.0043092
383,1.0101594
384,1.016275
385,1.022129
386,1.028007
387,1.0330845
388,1.0389147
389,1.0441328
390,1.0487331
391,1.0533568
392,1.0573847
393,1.0607289
394,1.0638108
395,1.0665135
396,1.0686909
397,1.0703934
398,1.0719138
399,1.0731028
400,1.0737679
401,1.073876
402,1.0733266
403,1.0724832
404,1.0715226
405,1.0703381
406,1.0692488
407,1.0681853
408,1.0669073
409,1.0654403
410,1.0634588
411,1.0608861
412,1.0579151
413,1.0546618
414,1.0508409
415,1.0469213
416,1.0426478
417,1.0380981
418,1.0336827
419,1.0290909
420,1.0250638
421,1.0210134
422,1.0170207
423,1.0131382
424,1.0099111
425,1.0070914
426,1.0044763
427,1.0024431
428,1.0009284
429,0.99972993
430,0.99902403
431,0.99870545
432,0.9988249
433,0.99945503
434,1.000282
435,1.0015191
436,1.0031502
437,1.0051692
438,1.0074463
439,1.0101994
440,1.0131073
441,1.035491
442,1.0389724
443,1.042435
444,1.0458006
445,1.048859
446,1.0514513
447,1.0537769
448,1.0557991
449,1.0574133
450,1.0583483
451,1.0589832
452,1.0591682
453,1.0592386
454,1.0590622
455,1.0587503
456,1.0580553
457,1.056845
458,1.0553178
459,1.0537891
460,1.0520504
461,1.0501356
462,1.0479593
463,1.0457741
464,1.0429641
465,1.0402974
466,1.0374222
467,1.0344968
468,1.0313021
469,1.0279824
470,1.0246532
471,1.021396
472,1.0180994
473,1.0150498
474,1.0123274
475,1.0095155
476,1.0067674
477,1.0043838
478,1.0019171
479,0.99985945
480,0.99820703
481,0.99646133
482,0.99500763
483,0.99355507
484,0.99225336
485,0.9911841
486,0.9904451
487,0.9900185
488,0.98963094
489,0.9890783
490,0.9884952
491,0.98796195
492,0.9876009
493,0.9872383
494,0.9869916
495,0.9871472
496,0.98748356
497,0.98809206
498,0.9887879
499,0.9896601
500,0.9904002
501,0.99116635
502,0.9920412
503,0.99299127
504,0.9941152
505,0.995219
506,0.9962108
507,0.9970633
508,0.99793595
509,0.9989518
510,1.0000983
511,1.001412
512,1.0024844
513,1.0033346
514,1.0040038
515,1.0043392
516,1.0044034
517,1.0042195
518,1.003876
519,1.003394
520,1.0028095
521,1.0022366
522,1.0017228
523,1.0012258
524,1.000756
525,1.0001237
526,0.999494
527,0.9989627
528,0.9984043
529,0.9977641
530,0.99682933
531,0.9957218
532,0.9946294
533,0.99355906
534,0.99248916
535,0.99168146
536,0.9908665
537,0.9899151
538,0.9887769
539,0.98761463
540,0.98636836
541,0.9852643
542,0.9841151
543,0.9829201
544,0.9817578
545,0.98067933
546,0.9798019
547,0.97895
548,0.978185
549,0.9775944
550,0.97717434
551,0.97655416
552,0.97594196
553,0.97528386
554,0.9746493
555,0.97405624
556,0.97342
557,0.9728509
558,0.97256726
559,0.9725644
560,0.972614
561,0.97259164
562,0.9725242
563,0.97232103
564,0.97208977
565,0.9716884
566,0.97122556
567,0.9709185
568,0.9706703
569,0.97094405
570,0.97159725
571,0.9723743
572,0.97308064
573,0.9736403
574,0.97401714
575,0.9742849
576,0.97451377
577,0.9747212
578,0.9748843
579,0.9749314
580,0.974862
581,0.9746038
582,0.97433156
583,0.9743465
584,0.97477454
585,0.9754112
586,0.97618073
587,0.9769726
588,0.97760105
589,0.97793376
590,0.97829515
591,0.9786269
592,0.97893226
593,0.9793364
594,0.9796367
595,0.97961354
596,0.9795196
597,0.97940475
598,0.97938365
599,0.97934246
600,0.97913724
601,0.9788754
602,0.9785216
603,0.97776824
604,0.9766785
605,0.9755286
606,0.97424966
607,0.97313285
608,0.97204226
609,0.97105896
610,0.9699944
611,0.9687198
612,0.9674973
613,0.9664069
614,0.9654059
615,0.9644537
616,0.9634052
617,0.9620572
618,0.9607956
619,0.9596929
620,0.9586002
621,0.9576186
622,0.9567877
623,0.9563086
624,0.95598865
625,0.9555417
626,0.9549962
627,0.954519
628,0.9541545
629,0.9537773
630,0.95339227
631,0.95299786
632,0.95248735
633,0.9520285
634,0.95162696
635,0.9511665
636,0.9506957
637,0.9501647
638,0.9496795
639,0.9493296
640,0.9490842
641,0.94897074
642,0.94893205
643,0.94901633
644,0.9490549
645,0.9489993
646,0.94899184
647,0.9490998
648,0.9492254
649,0.9493868
650,0.94953907
651,0.94978106
652,0.95011663
653,0.95049
654,0.95080984
655,0.9511845
656,0.9515386
657,0.9519263
658,0.95222867
659,0.9523963
660,0.95261025
661,0.9528054
662,0.95312893
663,0.95347774
664,0.9536751
665,0.9537673
666,0.9537108
667,0.9535463
668,0.9531836
669,0.9528524
670,0.95259947
671,0.95239747
672,0.9524385
673,0.95244193
674,0.9525348
675,0.95274305
676,0.952864
677,0.95296746
678,0.9529956
679,0.9530097
