realx,realy
273,-42.077248
274,-42.614162
275,-43.1169
276,-43.659676
277,-44.197502
278,-44.69982
279,-45.242096
280,-45.788532
281,-46.329636
282,-46.834526
283,-47.370937
284,-47.905075
285,-48.4003
286,-48.93661
287,-49.430702
288,-49.969803
289,-50.5137
290,-51.009212
291,-51.54726
292,-52.078053
293,-52.566204
294,-53.090477
295,-53.621964
296,-54.10922
297,-54.6359
298,-55.148483
299,-55.676773
300,-56.169357
301,-56.700726
302,-57.23517
303,-57.764267
304,-58.252285
305,-58.769096
306,-59.298977
307,-59.83762
308,-60.32841
309,-60.868816
310,-61.40494
311,-61.902573
312,-62.43898
313,-62.96711
314,-63.45553
315,-63.983772
316,-64.471375
317,-65.00319
318,-65.53765
319,-66.03595
320,-66.5701
321,-67.11233
322,-67.60614
323,-68.14418
324,-68.67363
325,-69.20761
326,-69.69369
327,-70.226456
328,-70.756134
329,-71.24778
330,-71.771904
331,-72.28133
332,-72.80144
333,-73.28005
334,-73.80192
335,-74.32385
336,-74.83332
337,-75.35856
338,-75.86976
339,-76.359215
340,-76.89082
341,-77.418465
342,-77.90643
343,-78.43085
344,-78.95855
345,-79.450424
346,-79.97771
347,-80.509026
348,-81.03612
349,-81.52681
350,-82.05467
351,-82.582306
352,-83.06295
353,-83.5763
354,-84.09468
355,-84.60934
356,-85.092636
357,-85.60923
358,-86.092964
359,-86.6123
360,-87.12556
361,-87.59892
362,-88.11229
363,-88.622055
364,-89.1198
365,-89.59565
366,-90.11508
367,-90.63206
368,-91.106514
369,-91.62531
370,-92.13836
371,-92.617676
372,-93.127075
373,-93.60115
374,-94.111
375,-94.6245
376,-95.10043
377,-95.61474
378,-96.12991
379,-96.60485
380,-97.1222
381,-97.63572
382,-98.10584
383,-98.610916
384,-99.115135
385,-99.5911
386,-100.085625
387,-100.605194
388,-101.09227
389,-101.61253
390,-102.09703
391,-102.619354
392,-103.14056
393,-103.61866
394,-104.15621
395,-104.619545
396,-105.1077
397,-105.58024
398,-106.0292
399,-106.4274
400,-106.83256
401,-107.18992
402,-107.54876
403,-107.88967
404,-108.19332
405,-108.505905
406,-108.808846
407,-109.07656
408,-109.34958
409,-109.585594
410,-109.769615
411,-109.92646
412,-110.03684
413,-110.101814
414,-110.126816
415,-110.125404
416,-110.10569
417,-110.075645
418,-110.03495
419,-109.99649
420,-109.96223
421,-109.93157
422,-109.90969
423,-109.89801
424,-109.89378
425,-109.898
426,-109.90438
427,-109.91486
428,-109.923584
429,-109.93096
430,-109.933784
431,-109.93561
432,-109.93535
433,-109.93843
434,-109.939354
435,-109.94905
436,-109.95444
437,-109.963684
438,-109.971016
439,-109.98297
440,-109.98952
441,-109.99911
442,-110.00545
443,-110.013626
444,-110.01687
445,-110.0225
446,-110.0226
447,-110.02242
448,-110.022194
449,-110.02294
450,-110.01879
451,-110.0184
452,-110.01312
453,-110.00509
454,-109.994225
455,-109.98408
456,-109.9715
457,-109.95587
458,-109.94178
459,-109.9289
460,-109.9187
461,-109.909065
462,-109.90073
463,-109.89308
464,-109.88406
465,-109.874886
466,-109.86415
467,-109.85021
468,-109.83579
469,-109.82003
470,-109.806175
471,-109.79761
472,-109.79415
473,-109.79804
474,-109.81127
475,-109.82866
476,-109.84982
477,-109.86678
478,-109.88057
479,-109.89161
480,-109.89958
481,-109.90604
482,-109.91374
483,-109.92047
484,-109.92717
485,-109.93348
486,-109.940704
487,-109.941666
488,-109.94314
489,-109.940155
