realx,realy
907,181.09181
908,180.57329
909,180.08836
910,179.56761
911,179.08177
912,178.55817
913,178.03151
914,177.54778
915,177.02374
916,176.49876
917,176.02188
918,175.50438
919,174.99248
920,174.51183
921,173.9977
922,173.51819
923,173.00685
924,172.4921
925,172.02153
926,171.5127
927,171.0004
928,170.53265
929,170.02263
930,169.51262
931,169.03506
932,168.52057
933,168.00706
934,167.50601
935,167.02716
936,166.50201
937,165.9776
938,165.48572
939,164.95224
940,164.41666
941,163.91383
942,163.39749
943,162.86916
944,162.33977
945,161.8466
946,161.31815
947,160.80908
948,160.28883
949,159.80865
950,159.29643
951,158.8212
952,158.31291
953,157.80501
954,157.3308
955,156.82013
956,156.3037
957,155.83112
958,155.31537
959,154.80453
960,154.33302
961,153.83304
962,153.31978
963,152.80856
964,152.335
965,151.81825
966,151.3056
967,150.8068
968,150.33208
969,149.80893
970,149.29205
971,148.81116
972,148.30034
973,147.8258
974,147.31471
975,146.80322
976,146.32097
977,145.8213
978,145.30438
979,144.78621
980,144.30298
981,143.78358
982,143.26816
983,142.79538
984,142.29825
985,141.78403
986,141.26974
987,140.79176
988,140.28
989,139.76369
990,139.2896
991,138.77103
992,138.26404
993,137.75432
994,137.28871
995,136.7842
996,136.27353
997,135.76587
998,135.28993
999,134.77559
1000,134.27243
