x,y
302,1.0828123
303,1.017993
304,0.94196564
305,0.86178535
306,0.76902384
307,0.6735582
308,0.5599332
309,0.42319706
310,0.27671525
311,0.11639945
312,-0.06458183
313,-0.27703968
314,-0.49928412
315,-0.7580308
316,-1.0325806
317,-1.3030713
318,-1.6326402
319,-1.9876335
320,-2.3465557
321,-2.7272308
322,-3.1699336
323,-3.5729563
324,-4.038026
325,-4.527919
326,-5.071696
327,-5.5922523
328,-6.14784
329,-6.6863284
330,-7.2961793
331,-7.895495
332,-8.522741
333,-9.122353
334,-9.728867
335,-10.367079
336,-11.009758
337,-11.625876
338,-12.262014
339,-12.886308
340,-13.522409
341,-14.12932
342,-14.802776
343,-15.409663
344,-16.02971
345,-16.64773
346,-17.242235
347,-17.85077
348,-18.435488
349,-19.032787
350,-19.641596
351,-20.193079
352,-20.774654
353,-21.368116
354,-21.946253
355,-22.481157
356,-23.06225
357,-23.639767
358,-24.19834
359,-24.721333
360,-25.297787
361,-25.829445
362,-26.366173
363,-26.952394
364,-27.49497
365,-28.03316
366,-28.588942
367,-29.146276
368,-29.722267
369,-30.26784
370,-30.831936
371,-31.398933
372,-31.95271
373,-32.532032
374,-33.06835
375,-33.668617
376,-34.26242
377,-34.8398
378,-35.44354
379,-36.02076
380,-36.6371
381,-37.22124
382,-37.809605
383,-38.401196
384,-39.037685
385,-39.652508
386,-40.288548
387,-40.853672
388,-41.513016
389,-42.137447
390,-42.726734
391,-43.373116
392,-44.00206
393,-44.594975
394,-45.244724
395,-45.876816
396,-46.52885
397,-47.144627
398,-47.779465
399,-48.408653
400,-49.03737
401,-49.653866
402,-50.323868
403,-50.912937
404,-51.519485
405,-52.14828
406,-52.71668
407,-53.287224
408,-53.85902
409,-54.36955
410,-54.89365
411,-55.43579
412,-55.944954
413,-56.41501
414,-56.90615
415,-57.37437
416,-57.85161
417,-58.347527
418,-58.798523
419,-59.272705
420,-59.703682
421,-60.14244
422,-60.6144
423,-61.086834
424,-61.52841
425,-61.957493
426,-62.42862
427,-62.88813
428,-63.337456
429,-63.80284
430,-64.28628
431,-64.759514
432,-65.20905
433,-65.71984
434,-66.20574
435,-66.68042
436,-67.15915
437,-67.67004
438,-68.15555
439,-68.67354
440,-69.16378
441,-72.24836
442,-72.73618
443,-73.25547
444,-73.7909
445,-74.29655
446,-74.80212
447,-75.338905
448,-75.86039
449,-76.38206
450,-76.88798
451,-77.42436
452,-77.91435
453,-78.46489
454,-78.96867
455,-79.45663
456,-80.00495
457,-80.50649
458,-81.0224
459,-81.52246
460,-82.02145
461,-82.53989
462,-83.08328
463,-83.56509
464,-84.091225
465,-84.571365
466,-85.09585
467,-85.60465
468,-86.11251
469,-86.61991
470,-87.12676
471,-87.63297
472,-88.14382
473,-88.64876
474,-89.109436
475,-89.62934
476,-90.14821
477,-90.62256
478,-91.14117
479,-91.6449
480,-92.112015
481,-92.65319
482,-93.14307
483,-93.66296
484,-94.16858
485,-94.67475
486,-95.16642
487,-95.64353
488,-96.165855
489,-96.673294
490,-97.196144
491,-97.70436
492,-98.167786
493,-98.67692
494,-99.22141
495,-99.70152
496,-100.19666
497,-100.72208
498,-101.20933
499,-101.757225
500,-102.23744
501,-102.74796
502,-103.27305
503,-103.768295
504,-104.2786
505,-104.788895
506,-105.31445
507,-105.81025
508,-106.320984
509,-106.83182
510,-107.327324
511,-107.847946
512,-108.34235
513,-108.844864
514,-109.341156
515,-109.86795
516,-110.37974
517,-110.91193
518,-111.379036
519,-111.89026
520,-112.41649
521,-112.94224
522,-113.452835
523,-113.93286
524,-114.44336
525,-114.968185
526,-115.46296
527,-115.95764
528,-116.49724
529,-117.00679
