timestamp,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,yaw,ref_alt,dist_bottom,dist_bottom_rate,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,xy_global,z_global,dist_bottom_valid
1202530429,21644006,32.387425,-117.076276,140.09305,115.069435,-48.873215,-0.0010998534,-0.0068369247,0,-4.977739,0.07604247,0.2575978,0.053550202,-0.022203542,-0.023427267,-0.3981666,-1.0437421,2.3286688,-2.5990593,3.1068945,13.434407,40.260273,-0.2575978,0.26458168,0.31762898,0.1446567,0.11517034,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
1202631200,21644006,32.387425,-117.076276,139.59003,115.07007,-48.867714,-0.0010998534,-0.0068369247,0,-4.981066,0.04157584,0.25449628,0.053354595,-0.022203542,-0.023427267,-0.3981666,-3.13003,-9.961132,1.9855843,3.1134734,13.434407,40.254772,-0.25449628,0.27636057,0.3186071,0.14947227,0.11582627,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
1202735204,21644006,32.387425,-117.076276,139.07019,115.067444,-48.857983,-0.0010998534,-0.0068369247,0,-4.99536,0.0588814,0.23541474,0.040767584,-0.022203542,-0.023427267,-0.3981666,-0.9210054,-1.2078325,-2.454984,3.1136048,13.434407,40.24504,-0.23541474,0.2651028,0.31712452,0.14484182,0.11510207,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
1202831330,21644006,32.387425,-117.076276,138.5897,115.066154,-48.848236,-0.0010998534,-0.0068369247,0,-5.003746,0.043456137,0.20469804,0.017600289,-0.022203542,-0.023427267,-0.3981666,2.52235,-5.7674036,-4.8181047,3.1134071,13.434407,40.235294,-0.20469804,0.27585828,0.32143915,0.14921106,0.11642791,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
1202936115,21644006,32.387425,-117.076276,138.06145,115.06278,-48.838226,-0.0010998534,-0.0068369247,0,-5.0216675,0.05492984,0.20249437,0.023655295,-0.022203542,-0.023427267,-0.3981666,0.963916,-1.2097102,-5.166596,3.1217103,13.434407,40.225285,-0.20249437,0.26513323,0.32028192,0.14490484,0.11573329,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
1203040067,21644006,32.387425,-117.076276,137.53714,115.061,-48.827305,-0.0010998534,-0.0068369247,0,-5.0356517,0.062185768,0.21988419,0.049573485,-0.022203542,-0.023427267,-0.3981666,-2.025622,4.51726,3.4370143,-3.1415672,13.434407,40.214363,-0.21988419,0.27681437,0.3212474,0.14954177,0.11640255,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
1203136822,21644006,32.387425,-117.076276,137.0531,115.05874,-48.813766,-0.0010998534,-0.0068369247,0,-5.033693,0.108429186,0.22137657,0.06112671,-0.022203542,-0.023427267,-0.3981666,-2.410973,17.900507,9.479927,-3.1227262,13.434407,40.200825,-0.22137657,0.26468614,0.31932658,0.14453611,0.11551198,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
1203240891,21644006,32.387425,-117.076276,136.5343,115.05902,-48.798443,-0.0010998534,-0.0068369247,0,-5.034628,0.07075053,0.20658283,0.05796474,-0.022203542,-0.023427267,-0.3981666,-6.343576,2.3338044,6.193597,-3.1066854,13.434407,40.1855,-0.20658283,0.27641815,0.3203529,0.14929286,0.11618274,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
1203345700,21644006,32.387425,-117.076276,136.0114,115.05602,-48.77911,-0.0010998534,-0.0068369247,0,-5.00606,0.054032553,0.14725491,0.014405559,-0.022203542,-0.023427267,-0.3981666,4.500964,2.1078143,-15.175401,-3.095791,13.434407,40.16617,-0.14725491,0.26561284,0.3191487,0.14494155,0.11549535,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
1203441665,21644006,32.387425,-117.076276,135.53325,115.05479,-48.761177,-0.0010998534,-0.0068369247,0,-5.00669,0.06649741,0.14019102,0.022792498,-0.022203542,-0.023427267,-0.3981666,-1.330583,8.587806,-2.3201358,-3.0879474,13.434407,40.148235,-0.14019102,0.27646858,0.3194646,0.14943278,0.11598563,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
1203546430,21644006,32.387425,-117.076276,135.01074,115.05294,-48.740025,-0.0010998534,-0.0068369247,0,-5.0086036,0.08040063,0.16695637,0.06698315,-0.022203542,-0.023427267,-0.3981666,-1.9822932,3.033237,5.866951,-3.0812407,13.434407,40.127083,-0.16695637,0.26568857,0.31828582,0.14516969,0.11530713,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
1203650430,21644006,32.387425,-117.076276,134.4935,115.05481,-48.718464,-0.0010998534,-0.0068369247,0,-4.9980326,0.07952039,0.15834136,0.07395763,-0.022203542,-0.023427267,-0.3981666,-1.6951178,-6.813223,1.2504712,-3.0743964,13.434407,40.105522,-0.15834136,0.25546056,0.31718376,0.14080228,0.1146153,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
1203746408,21644006,32.387425,-117.076276,134.01804,115.05586,-48.696995,-0.0010998534,-0.0068369247,0,-4.988946,0.10152779,0.12376993,0.05434064,-0.022203542,-0.023427267,-0.3981666,-1.5852958,3.7015717,0.37134635,-3.0720224,13.434407,40.084053,-0.12376993,0.26573038,0.31748796,0.14499527,0.11513105,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
1203851259,21644006,32.387425,-117.076276,133.4995,115.05932,-48.67693,-0.0010998534,-0.0068369247,0,-4.981067,0.08285829,0.11609954,0.060635697,-0.022203542,-0.023427267,-0.3981666,2.3916347,-10.525379,0.82327324,-3.073026,13.434407,40.063988,-0.11609954,0.2554173,0.31635192,0.14084005,0.11444475,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
1203955215,21644006,32.387425,-117.076276,132.98598,115.062645,-48.65779,-0.0010998534,-0.0068369247,0,-4.96132,0.11098195,0.097342044,0.054921493,-0.022203542,-0.023427267,-0.3981666,1.207202,1.2358567,-3.3647285,-3.073123,13.434407,40.04485,-0.097342044,0.2666575,0.31742257,0.14547226,0.11514592,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
1204056057,21644006,32.387425,-117.076276,132.48898,115.067154,-48.645134,-0.0010998534,-0.0068369247,0,-4.958866,0.09616756,0.010599977,-0.02211251,-0.022203542,-0.023427267,-0.3981666,1.3705516,0.9811019,-10.335411,-3.0767956,13.434407,40.032192,-0.010599977,0.27840495,0.3184076,0.1501833,0.11580918,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
1204152057,21644006,32.387425,-117.076276,132.02136,115.068474,-48.634438,-0.0010998534,-0.0068369247,0,-4.9408455,0.09710105,0.032197736,0.009232742,-0.022203542,-0.023427267,-0.3981666,1.414635,6.2524247,-5.286946,-3.081579,13.434407,40.021496,-0.032197736,0.2658841,0.31628564,0.14536636,0.11492518,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
1204256905,21644006,32.387425,-117.076276,131.5098,115.07053,-48.624428,-0.0010998534,-0.0068369247,0,-4.93425,0.07764118,0.0038307428,-0.010228487,-0.022203542,-0.023427267,-0.3981666,2.5001802,-5.5523047,0.34055224,-3.0865529,13.434407,40.011486,-0.0038307428,0.25566584,0.31515032,0.1409734,0.11423625,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
